freq,ang,val
4.0,-180.0,-0.34
4.15,-180.0,-0.36
4.3,-180.0,-0.39
4.46,-180.0,-0.42
4.63,-180.0,-0.47
4.8,-180.0,-0.52
4.98,-180.0,-0.6
5.16,-180.0,-0.7
5.36,-180.0,-0.86
5.55,-180.0,-1.1
5.76,-180.0,-1.57
5.98,-180.0,-2.79
6.2,-180.0,-10.46
6.43,-180.0,6.55
6.67,-180.0,2.24
6.91,-180.0,1.38
7.17,-180.0,1.0
7.44,-180.0,0.79
7.71,-180.0,0.66
8.0,-180.0,0.57
4.0,-176.0,-0.08
4.15,-176.0,-0.11
4.3,-176.0,-0.15
4.46,-176.0,-0.2
4.63,-176.0,-0.25
4.8,-176.0,-0.32
4.98,-176.0,-0.41
5.16,-176.0,-0.53
5.36,-176.0,-0.7
5.55,-176.0,-0.97
5.76,-176.0,-1.46
5.98,-176.0,-2.7
6.2,-176.0,-10.06
6.43,-176.0,6.63
6.67,-176.0,2.28
6.91,-176.0,1.39
7.17,-176.0,0.98
7.44,-176.0,0.73
7.71,-176.0,0.55
8.0,-176.0,0.41
4.0,-172.0,0.11
4.15,-172.0,0.07
4.3,-172.0,0.02
4.46,-172.0,-0.04
4.63,-172.0,-0.1
4.8,-172.0,-0.19
4.98,-172.0,-0.29
5.16,-172.0,-0.43
5.36,-172.0,-0.61
5.55,-172.0,-0.9
5.76,-172.0,-1.42
5.98,-172.0,-2.71
6.2,-172.0,-9.66
6.43,-172.0,6.63
6.67,-172.0,2.24
6.91,-172.0,1.3
7.17,-172.0,0.85
7.44,-172.0,0.55
7.71,-172.0,0.32
8.0,-172.0,0.12
4.0,-168.0,0.24
4.15,-168.0,0.19
4.3,-168.0,0.13
4.46,-168.0,0.06
4.63,-168.0,-0.02
4.8,-168.0,-0.12
4.98,-168.0,-0.24
5.16,-168.0,-0.39
5.36,-168.0,-0.6
5.55,-168.0,-0.92
5.76,-168.0,-1.46
5.98,-168.0,-2.8
6.2,-168.0,-9.27
6.43,-168.0,6.56
6.67,-168.0,2.11
6.91,-168.0,1.13
7.17,-168.0,0.62
7.44,-168.0,0.27
7.71,-168.0,-0.03
8.0,-168.0,-0.3
4.0,-164.0,0.32
4.15,-164.0,0.26
4.3,-164.0,0.19
4.46,-164.0,0.1
4.63,-164.0,0.01
4.8,-164.0,-0.11
4.98,-164.0,-0.25
5.16,-164.0,-0.42
5.36,-164.0,-0.66
5.55,-164.0,-1.0
5.76,-164.0,-1.58
5.98,-164.0,-2.98
6.2,-164.0,-8.92
6.43,-164.0,6.41
6.67,-164.0,1.89
6.91,-164.0,0.86
7.17,-164.0,0.29
7.44,-164.0,-0.13
7.71,-164.0,-0.51
8.0,-164.0,-0.89
4.0,-160.0,0.35
4.15,-160.0,0.27
4.3,-160.0,0.18
4.46,-160.0,0.09
4.63,-160.0,-0.03
4.8,-160.0,-0.16
4.98,-160.0,-0.32
5.16,-160.0,-0.52
5.36,-160.0,-0.78
5.55,-160.0,-1.15
5.76,-160.0,-1.78
5.98,-160.0,-3.24
6.2,-160.0,-8.61
6.43,-160.0,6.18
6.67,-160.0,1.59
6.91,-160.0,0.49
7.17,-160.0,-0.15
7.44,-160.0,-0.66
7.71,-160.0,-1.15
8.0,-160.0,-1.65
4.0,-156.0,0.32
4.15,-156.0,0.23
4.3,-156.0,0.13
4.46,-156.0,0.01
4.63,-156.0,-0.12
4.8,-156.0,-0.27
4.98,-156.0,-0.45
5.16,-156.0,-0.68
5.36,-156.0,-0.97
5.55,-156.0,-1.38
5.76,-156.0,-2.05
5.98,-156.0,-3.59
6.2,-156.0,-8.35
6.43,-156.0,5.88
6.67,-156.0,1.2
6.91,-156.0,0.02
7.17,-156.0,-0.72
7.44,-156.0,-1.34
7.71,-156.0,-1.95
8.0,-156.0,-2.64
4.0,-152.0,0.24
4.15,-152.0,0.14
4.3,-152.0,0.02
4.46,-152.0,-0.11
4.63,-152.0,-0.26
4.8,-152.0,-0.43
4.98,-152.0,-0.64
5.16,-152.0,-0.89
5.36,-152.0,-1.22
5.55,-152.0,-1.67
5.76,-152.0,-2.39
5.98,-152.0,-4.02
6.2,-152.0,-8.17
6.43,-152.0,5.51
6.67,-152.0,0.72
6.91,-152.0,-0.56
7.17,-152.0,-1.41
7.44,-152.0,-2.17
7.71,-152.0,-2.98
8.0,-152.0,-3.94
4.0,-148.0,0.11
4.15,-148.0,-0.01
4.3,-148.0,-0.14
4.46,-148.0,-0.29
4.63,-148.0,-0.46
4.8,-148.0,-0.66
4.98,-148.0,-0.89
5.16,-148.0,-1.17
5.36,-148.0,-1.53
5.55,-148.0,-2.02
5.76,-148.0,-2.8
5.98,-148.0,-4.55
6.2,-148.0,-8.05
6.43,-148.0,5.05
6.67,-148.0,0.14
6.91,-148.0,-1.26
7.17,-148.0,-2.26
7.44,-148.0,-3.21
7.71,-148.0,-4.31
8.0,-148.0,-5.73
4.0,-144.0,-0.07
4.15,-144.0,-0.2
4.3,-144.0,-0.35
4.46,-144.0,-0.52
4.63,-144.0,-0.71
4.8,-144.0,-0.93
4.98,-144.0,-1.19
5.16,-144.0,-1.51
5.36,-144.0,-1.9
5.55,-144.0,-2.45
5.76,-144.0,-3.29
5.98,-144.0,-5.16
6.2,-144.0,-8.01
6.43,-144.0,4.51
6.67,-144.0,-0.54
6.91,-144.0,-2.1
7.17,-144.0,-3.28
7.44,-144.0,-4.53
7.71,-144.0,-6.1
