freq,ang,val
4.0,-180.0,-1.15
4.15,-180.0,-1.24
4.3,-180.0,-1.34
4.46,-180.0,-1.45
4.63,-180.0,-1.58
4.8,-180.0,-1.72
4.98,-180.0,-1.9
5.16,-180.0,-2.11
5.36,-180.0,-2.38
5.55,-180.0,-2.76
5.76,-180.0,-3.36
5.98,-180.0,-4.73
6.2,-180.0,-12.58
6.43,-180.0,4.25
6.67,-180.0,-0.27
6.91,-180.0,-1.35
7.17,-180.0,-1.98
7.44,-180.0,-2.47
7.71,-180.0,-2.93
8.0,-180.0,-3.38
4.0,-176.0,-1.03
4.15,-176.0,-1.14
4.3,-176.0,-1.26
4.46,-176.0,-1.39
4.63,-176.0,-1.53
4.8,-176.0,-1.7
4.98,-176.0,-1.9
5.16,-176.0,-2.14
5.36,-176.0,-2.44
5.55,-176.0,-2.84
5.76,-176.0,-3.48
5.98,-176.0,-4.89
6.2,-176.0,-12.43
6.43,-176.0,4.07
6.67,-176.0,-0.49
6.91,-176.0,-1.62
7.17,-176.0,-2.28
7.44,-176.0,-2.82
7.71,-176.0,-3.31
8.0,-176.0,-3.81
4.0,-172.0,-1.25
4.15,-172.0,-1.4
4.3,-172.0,-1.56
4.46,-172.0,-1.73
4.63,-172.0,-1.92
4.8,-172.0,-2.14
4.98,-172.0,-2.38
5.16,-172.0,-2.67
5.36,-172.0,-3.02
5.55,-172.0,-3.49
5.76,-172.0,-4.19
5.98,-172.0,-5.67
6.2,-172.0,-12.84
6.43,-172.0,3.23
6.67,-172.0,-1.38
6.91,-172.0,-2.55
7.17,-172.0,-3.27
7.44,-172.0,-3.86
7.71,-172.0,-4.41
8.0,-172.0,-4.96
4.0,-168.0,-1.86
4.15,-168.0,-2.07
4.3,-168.0,-2.29
4.46,-168.0,-2.54
4.63,-168.0,-2.81
4.8,-168.0,-3.11
4.98,-168.0,-3.44
5.16,-168.0,-3.81
5.36,-168.0,-4.26
5.55,-168.0,-4.82
5.76,-168.0,-5.62
5.98,-168.0,-7.23
6.2,-168.0,-13.98
6.43,-168.0,1.57
6.67,-168.0,-3.1
6.91,-168.0,-4.33
7.17,-168.0,-5.1
7.44,-168.0,-5.74
7.71,-168.0,-6.34
8.0,-168.0,-6.96
4.0,-164.0,-2.92
4.15,-164.0,-3.24
4.3,-164.0,-3.59
4.46,-164.0,-3.97
4.63,-164.0,-4.38
4.8,-164.0,-4.82
4.98,-164.0,-5.31
5.16,-164.0,-5.86
5.36,-164.0,-6.48
5.55,-164.0,-7.22
5.76,-164.0,-8.22
5.98,-164.0,-10.05
6.2,-164.0,-16.42
6.43,-164.0,-1.5
6.67,-164.0,-6.2
6.91,-164.0,-7.46
7.17,-164.0,-8.25
7.44,-164.0,-8.89
7.71,-164.0,-9.49
8.0,-164.0,-10.12
4.0,-160.0,-4.64
4.15,-160.0,-5.18
4.3,-160.0,-5.78
4.46,-160.0,-6.44
4.63,-160.0,-7.18
4.8,-160.0,-8.02
4.98,-160.0,-8.96
5.16,-160.0,-10.02
5.36,-160.0,-11.25
5.55,-160.0,-12.69
5.76,-160.0,-14.5
5.98,-160.0,-17.27
6.2,-160.0,-24.12
6.43,-160.0,-11.02
6.67,-160.0,-14.8
6.91,-160.0,-15.37
7.17,-160.0,-15.47
7.44,-160.0,-15.45
7.71,-160.0,-15.48
8.0,-160.0,-15.66
4.0,-156.0,-7.39
4.15,-156.0,-8.44
4.3,-156.0,-9.73
4.46,-156.0,-11.33
4.63,-156.0,-13.34
4.8,-156.0,-15.31
4.98,-156.0,-15.17
5.16,-156.0,-13.87
5.36,-156.0,-12.96
5.55,-156.0,-12.55
5.76,-156.0,-12.69
5.98,-156.0,-13.95
6.2,-156.0,-18.63
6.43,-156.0,-4.56
6.67,-156.0,-10.1
6.91,-156.0,-12.19
7.17,-156.0,-14.05
7.44,-156.0,-16.14
7.71,-156.0,-18.75
8.0,-156.0,-22.47
4.0,-152.0,-9.49
4.15,-152.0,-9.76
4.3,-152.0,-9.64
4.46,-152.0,-9.3
4.63,-152.0,-8.94
4.8,-152.0,-8.66
4.98,-152.0,-8.5
5.16,-152.0,-8.48
5.36,-152.0,-8.63
5.55,-152.0,-9.01
5.76,-152.0,-9.77
5.98,-152.0,-11.54
6.2,-152.0,-15.93
6.43,-152.0,-2.67
6.67,-152.0,-8.29
6.91,-152.0,-10.46
7.17,-152.0,-12.35
7.44,-152.0,-14.34
7.71,-152.0,-16.6
8.0,-152.0,-19.28
4.0,-148.0,-7.06
4.15,-148.0,-6.85
4.3,-148.0,-6.67
4.46,-148.0,-6.55
4.63,-148.0,-6.52
4.8,-148.0,-6.57
4.98,-148.0,-6.73
5.16,-148.0,-7.02
5.36,-148.0,-7.46
5.55,-148.0,-8.11
5.76,-148.0,-9.15
5.98,-148.0,-11.25
6.2,-148.0,-15.22
6.43,-148.0,-2.75
6.67,-148.0,-8.64
6.91,-148.0,-11.14
7.17,-148.0,-13.4
7.44,-148.0,-15.83
7.71,-148.0,-18.62
8.0,-148.0,-21.98
4.0,-144.0,-5.4
4.15,-144.0,-5.34
4.3,-144.0,-5.34
4.46,-144.0,-5.42
4.63,-144.0,-5.58
4.8,-144.0,-5.84
4.98,-144.0,-6.2
5.16,-144.0,-6.7
5.36,-144.0,-7.36
5.55,-144.0,-8.26
5.76,-144.0,-9.57
5.98,-144.0,-12.03
6.2,-144.0,-15.62
6.43,-144.0,-4.03
6.67,-144.0,-10.42
6.91,-144.0,-13.51
7.17,-144.0,-16.57
7.44,-144.0,-20.14
7.71,-144.0,-24.68
8.0,-144.0,-30.98
4.0,-140.0,-4.59
4.15,-140.0,-4.67
4.3,-140.0,-4.82
4.46,-140.0,-5.05
4.63,-140.0,-5.37
4.8,-140.0,-5.8
4.98,-140.0,-6.36
5.16,-140.0,-7.06
5.36,-140.0,-7.96
5.55,-140.0,-9.15
5.76,-140.0,-10.81
5.98,-140.0,-13.75
6.2,-140.0,-17.12
6.43,-140.0,-6.74
6.67,-140.0,-14.2
6.91,-140.0,-19.16
7.17,-140.0,-27.49
7.44,-140.0,-27.67
7.71,-140.0,-27.7
8.0,-140.0,-34.29
4.0,-136.0,-4.29
4.15,-136.0,-4.5
4.3,-136.0,-4.78
4.46,-136.0,-5.16
4.63,-136.0,-5.65
4.8,-136.0,-6.26
4.98,-136.0,-7.02
5.16,-136.0,-7.98
5.36,-136.0,-9.18
5.55,-136.0,-10.75
5.76,-136.0,-12.95
5.98,-136.0,-16.74
6.2,-136.0,-20.59
6.43,-136.0,-13.56
6.67,-136.0,-24.15
6.91,-136.0,-20.26
7.17,-136.0,-20.69
7.44,-136.0,-23.02
7.71,-136.0,-29.67
8.0,-136.0,-27.92
4.0,-132.0,-4.36
4.15,-132.0,-4.69
4.3,-132.0,-5.11
4.46,-132.0,-5.64
4.63,-132.0,-6.3
4.8,-132.0,-7.13
4.98,-132.0,-8.15
5.16,-132.0,-9.44
5.36,-132.0,-11.1
5.55,-132.0,-13.34
5.76,-132.0,-16.69
5.98,-132.0,-23.38
6.2,-132.0,-27.45
6.43,-132.0,-11.32
6.67,-132.0,-15.6
6.91,-132.0,-17.48
7.17,-132.0,-20.21
7.44,-132.0,-25.94
7.71,-132.0,-27.02
8.0,-132.0,-24.61
4.0,-130.0,-4.5
4.15,-130.0,-4.89
4.3,-130.0,-5.38
4.46,-130.0,-6.0
4.63,-130.0,-6.76
4.8,-130.0,-7.71
4.98,-130.0,-8.9
5.16,-130.0,-10.41
5.36,-130.0,-12.41
5.55,-130.0,-15.28
5.76,-130.0,-20.29
5.98,-130.0,-28.24
6.2,-130.0,-22.02
6.43,-130.0,-9.56
6.67,-130.0,-14.84
6.91,-130.0,-17.42
7.17,-130.0,-21.08
7.44,-130.0,-32.92
7.71,-130.0,-24.84
8.0,-130.0,-24.53
4.0,-128.0,-4.71
4.15,-128.0,-5.16
4.3,-128.0,-5.73
4.46,-128.0,-6.43
4.63,-128.0,-7.31
4.8,-128.0,-8.4
4.98,-128.0,-9.78
5.16,-128.0,-11.58
5.36,-128.0,-14.1
5.55,-128.0,-18.23
5.76,-128.0,-31.26
5.98,-128.0,-22.23
6.2,-128.0,-19.99
6.43,-128.0,-8.73
6.67,-128.0,-14.62
6.91,-128.0,-17.82
7.17,-128.0,-22.7
7.44,-128.0,-28.46
7.71,-128.0,-23.99
8.0,-128.0,-25.45
4.0,-124.0,-5.28
4.15,-124.0,-5.87
4.3,-124.0,-6.6
